Wall time,Step,Value
1715688293.4002955,5771,-0.5575592517852783
1715688297.4216292,5798,-0.5215071439743042
1715688301.4414608,5822,-0.5143162608146667
1715688305.4645753,5853,-0.5181530117988586
1715688309.4869063,5876,-0.5062652826309204
1715688313.5221133,5893,-0.5008840560913086
1715688317.5434287,5906,-0.49404120445251465
1715688321.563894,5924,-0.4904981255531311
1715688325.5856736,5940,-0.4741128087043762
1715688329.6040654,5963,-0.4703119695186615
1715688333.624654,5982,-0.46910086274147034
1715688337.0288994,6001,-0.4804087281227112
1715688337.8030398,6019,-0.47326338291168213
1715688339.555604,6044,-0.4649467170238495
1715688343.5797517,6057,-0.45374545454978943
1715688347.6059384,6082,-0.4553079307079315
1715688351.630081,6092,-0.44250258803367615
1715688355.6538367,6109,-0.44420263171195984
1715688359.6773303,6131,-0.45226675271987915
1715688363.7015212,6147,-0.44136911630630493
1715688367.7302194,6166,-0.44073978066444397
1715688371.7518032,6181,-0.4388431906700134
1715688375.7755637,6208,-0.4250406324863434
1715688379.8007019,6231,-0.4195175766944885
1715688383.8240168,6249,-0.4139842689037323
1715688387.8475232,6270,-0.4146858751773834
1715688391.8738713,6281,-0.3991800844669342
1715688395.8974574,6298,-0.3917786777019501
1715688399.9179866,6318,-0.377848356962204
1715688400.5612304,6331,-0.372667521238327
1715688401.2834532,6352,-0.3799422085285187
1715688401.896695,6369,-0.3858695924282074
1715688402.6093857,6388,-0.3915646970272064
1715688403.3368719,6405,-0.39417245984077454
1715688403.8493814,6418,-0.3844241797924042
1715688404.5187352,6434,-0.38371700048446655
1715688405.1343234,6449,-0.3785683810710907
1715688405.9357305,6469,-0.38159915804862976
1715688406.7532048,6490,-0.3780103325843811
1715688407.4830723,6509,-0.38303321599960327
1715688408.218476,6527,-0.37448248267173767
1715688409.1325734,6550,-0.3868448734283447
1715688409.7029283,6565,-0.3820664882659912
1715688410.4824436,6584,-0.37833377718925476
1715688411.2862134,6602,-0.3831186294555664
1715688411.9188495,6617,-0.38149964809417725
1715688412.703487,6636,-0.3858574628829956
1715688413.5821962,6658,-0.38079288601875305
1715688414.4018795,6679,-0.38188669085502625
1715688415.0547957,6696,-0.3823339641094208
1715688415.5195904,6707,-0.3727264702320099
1715688416.0830975,6720,-0.3744107782840729
1715688416.5402849,6731,-0.3663022518157959
1715688417.0627859,6743,-0.35733914375305176
1715688417.9137943,6758,-0.35688942670822144
1715688418.4223228,6770,-0.3468092978000641
1715688419.0033772,6787,-0.3462475836277008
1715688419.597702,6801,-0.3401344120502472
1715688420.219138,6816,-0.3388596773147583
1715688420.9199908,6835,-0.3484189212322235
1715688421.6357517,6852,-0.3490387797355652
1715688422.4005928,6871,-0.35546407103538513
1715688423.1472523,6890,-0.3543730080127716
1715688423.9326599,6910,-0.350980669260025
1715688424.5842779,6927,-0.35210728645324707
1715688425.1026351,6940,-0.3482591509819031
1715688425.6339645,6953,-0.337760329246521
1715688426.3980765,6973,-0.3467763364315033
1715688426.950625,6987,-0.34564611315727234
1715688427.437068,6999,-0.33621636033058167
1715688428.0539184,7014,-0.33580267429351807
1715688428.7710397,7033,-0.33679765462875366
