Wall time,Step,Value
1715687862.855979,200,50.0
1715687869.0387864,400,50.0
1715687874.990048,600,50.0
1715687878.3509727,706,44.125
1715687884.6385481,906,45.29999923706055
1715687890.9743063,1106,46.08333206176758
1715687896.8240898,1290,46.07143020629883
1715687901.9531622,1443,45.09375
1715687909.545443,1643,45.63888931274414
1715687916.5709138,1795,44.875
1715687922.5953946,1901,43.20454406738281
1715687929.620914,2056,42.83333206176758
1715687936.6458275,2207,42.44230651855469
1715687942.6708071,2350,41.96428680419922
1715687948.6940253,2462,41.03333282470703
1715687953.7141564,2530,39.53125
1715687958.7361915,2615,38.45588302612305
1715687964.7633317,2731,37.93055725097656
1715687968.78264,2788,36.68421173095703
1715687973.8061335,2879,35.98749923706055
1715687978.8293457,2981,35.488094329833984
1715687983.8509407,3074,34.931819915771484
1715687988.8713067,3151,34.25
1715687994.8952098,3266,34.02083206176758
1715687999.9161048,3336,33.36000061035156
1715688003.9377923,3373,31.729999542236328
1715688007.958444,3412,30.1200008392334
1715688011.9809473,3431,28.309999465942383
1715688017.001517,3513,28.06999969482422
1715688024.0270238,3669,27.6299991607666
1715688028.0465007,3718,26.1200008392334
1715688034.0704699,3825,25.350000381469727
1715688038.0914009,3871,24.280000686645508
1715688042.1113484,3886,22.43000030517578
1715688046.1319847,3912,21.170000076293945
1715688050.152875,3932,20.309999465942383
1715688055.1749976,3990,19.34000015258789
1715688060.1986675,4066,18.59000015258789
1715688064.2192354,4098,17.479999542236328
1715688068.2403688,4154,16.920000076293945
1715688072.2605722,4176,16.459999084472656
1715688076.280616,4222,16.06999969482422
1715688080.3006604,4246,15.149999618530273
1715688085.3258011,4335,15.470000267028809
1715688089.3462648,4380,15.010000228881836
1715688094.3690467,4441,14.600000381469727
1715688098.38985,4499,14.25
1715688102.4097178,4522,13.710000038146973
1715688106.429045,4546,12.800000190734863
1715688110.4487646,4608,12.720000267028809
1715688114.4701126,4644,12.710000038146973
1715688119.493764,4717,13.050000190734863
1715688123.5156348,4736,13.050000190734863
1715688127.5357969,4750,12.369999885559082
1715688131.5565836,4775,11.0600004196167
1715688135.5790787,4795,10.770000457763672
1715688139.600622,4826,10.010000228881836
1715688143.6203377,4843,9.720000267028809
1715688147.6405249,4864,9.779999732971191
1715688151.660672,4885,9.729999542236328
1715688155.6813793,4904,9.720000267028809
1715688159.7031078,4930,9.399999618530273
1715688163.722665,4945,8.789999961853027
1715688167.743012,4974,8.760000228881836
1715688171.763779,4990,8.359999656677246
1715688175.785007,5008,8.319999694824219
1715688179.807095,5030,8.079999923706055
1715688183.828287,5080,8.34000015258789
1715688187.8482323,5100,7.650000095367432
1715688191.8699422,5126,7.460000038146973
1715688196.892966,5183,7.420000076293945
1715688200.9136298,5212,7.130000114440918
1715688204.9346974,5242,7.199999809265137
1715688208.9555182,5279,7.329999923706055
1715688212.9769304,5301,6.929999828338623
1715688216.997901,5321,6.769999980926514
1715688221.017431,5343,6.260000228881836
1715688225.038253,5376,6.400000095367432
1715688229.060242,5405,6.550000190734863
1715688233.0815835,5423,6.480000019073486
1715688237.1025603,5432,6.369999885559082
1715688241.123222,5459,6.329999923706055
1715688245.1438258,5496,6.53000020980835
1715688249.1647687,5519,6.550000190734863
1715688253.1846385,5544,6.590000152587891
1715688257.2085736,5567,6.630000114440918
1715688261.2296433,5585,6.550000190734863
1715688265.2506132,5599,6.539999961853027
1715688269.2710013,5626,6.519999980926514
1715688273.293064,5645,6.550000190734863
1715688277.3135533,5664,6.559999942779541
1715688281.336909,5701,6.710000038146973
1715688285.3585274,5727,6.46999979019165
1715688289.3807063,5750,6.5
1715688293.400217,5771,6.449999809265137
1715688297.421512,5798,6.150000095367432
1715688301.441363,5822,6.099999904632568
1715688305.4644485,5853,6.110000133514404
1715688309.4868534,5876,5.96999979019165
1715688313.5220613,5893,5.920000076293945
1715688317.5433636,5906,5.849999904632568
1715688321.5638003,5924,5.809999942779541
1715688325.5855613,5940,5.639999866485596
1715688329.6040132,5963,5.579999923706055
1715688333.6245515,5982,5.590000152587891
1715688337.0287585,6001,5.690000057220459
1715688337.8029046,6019,5.599999904632568
1715688339.555521,6044,5.480000019073486
1715688343.5796797,6057,5.380000114440918
1715688347.6058676,6082,5.380000114440918
1715688351.6299922,6092,5.25
1715688355.6537857,6109,5.239999771118164
1715688359.6772766,6131,5.320000171661377
1715688363.701444,6147,5.210000038146973
1715688367.7301228,6166,5.210000038146973
1715688371.7517514,6181,5.170000076293945
1715688375.7754984,6208,5.070000171661377
1715688379.8005862,6231,5.039999961853027
1715688383.82395,6249,4.989999771118164
1715688387.8474631,6270,4.989999771118164
1715688391.873803,6281,4.829999923706055
1715688395.897357,6298,4.760000228881836
1715688399.9179008,6318,4.650000095367432
1715688400.5610783,6331,4.550000190734863
1715688401.2833436,6352,4.590000152587891
1715688401.8965278,6369,4.630000114440918
1715688402.609243,6388,4.639999866485596
1715688403.3367612,6405,4.650000095367432
