Wall time,Step,Value
1715691425.2840924,200,50.0
1715691431.5477726,400,50.0
1715691438.3305564,551,45.91666793823242
1715691445.9724872,751,46.9375
1715691452.634332,951,47.54999923706055
1715691458.99905,1151,47.95833206176758
1715691466.7802238,1351,48.25
1715691474.8108976,1551,48.46875
1715691482.8374562,1751,48.63888931274414
1715691491.8673189,1911,47.775001525878906
1715691499.8931708,2111,47.977272033691406
1715691507.9190242,2311,48.14583206176758
1715691515.946338,2511,48.28845977783203
1715691522.9721763,2662,47.53571319580078
1715691529.9995124,2813,46.88333511352539
1715691538.0270147,3013,47.078125
1715691545.0554674,3177,46.72058868408203
1715691553.0862784,3334,46.30555725097656
1715691561.1129055,3534,46.5
1715691569.1384616,3734,46.67499923706055
1715691576.1652336,3894,46.35714340209961
1715691585.1937735,4094,46.522727966308594
1715691593.2220197,4294,46.673912048339844
1715691601.250323,4494,46.8125
1715691608.2797642,4646,46.459999084472656
1715691615.3033743,4803,46.029998779296875
1715691623.3295965,5003,46.029998779296875
1715691630.3551438,5155,46.040000915527344
1715691636.3803415,5262,45.11000061035156
1715691643.4055,5413,44.619998931884766
1715691651.4328592,5613,44.619998931884766
1715691660.4623268,5813,44.619998931884766
1715691668.4896166,6013,44.619998931884766
1715691676.5150368,6213,44.619998931884766
1715691685.54488,6413,45.02000045776367
1715691693.5734406,6613,45.02000045776367
1715691701.6014457,6813,45.02000045776367
1715691710.6344826,7013,45.02000045776367
1715691717.6593983,7190,45.279998779296875
1715691725.6861248,7390,45.77000045776367
1715691731.7162461,7514,45.0099983215332
1715691739.740469,7665,44.880001068115234
1715691747.7682176,7865,45.310001373291016
1715691754.7959101,8016,44.81999969482422
1715691762.8260224,8173,44.38999938964844
1715691770.8568316,8373,44.790000915527344
1715691777.8829134,8526,44.31999969482422
1715691786.91179,8726,44.31999969482422
1715691794.9343047,8926,44.31999969482422
1715691802.9631374,9114,44.68000030517578
1715691811.9960601,9314,45.11000061035156
1715691820.023105,9514,45.11000061035156
1715691828.0483754,9714,45.59000015258789
1715691835.0833082,9876,46.13999938964844
