Wall time,Step,Value
1715689579.578073,200,50.0
1715689587.3434708,400,50.0
1715689594.0279422,600,50.0
1715689600.2105904,800,50.0
1715689606.6654809,1000,50.0
1715689611.794761,1160,48.33333206176758
1715689615.1947656,1266,45.21428680419922
1715689618.8444042,1382,43.1875
1715689622.195991,1485,41.25
1715689627.0281525,1637,40.92499923706055
1715689633.4062355,1837,41.75
1715689638.8439596,1991,41.47916793823242
1715689647.4833527,2191,42.13461685180664
1715689653.510493,2296,41.0
1715689661.5394986,2496,41.599998474121094
1715689668.5695941,2648,41.375
1715689676.596953,2848,41.882354736328125
1715689684.6241684,3048,42.33333206176758
1715689692.6532745,3248,42.73684310913086
1715689700.684187,3448,43.099998474121094
1715689708.712942,3648,43.42856979370117
1715689716.742978,3848,43.727272033691406
1715689723.7691867,4000,43.4782600402832
1715689730.7947056,4156,43.29166793823242
1715689737.820618,4310,43.099998474121094
1715689744.8277617,4510,43.099998474121094
1715689751.959479,4710,43.099998474121094
1715689757.1774986,4862,42.619998931884766
1715689764.4246356,5062,42.619998931884766
1715689770.0590487,5215,42.150001525878906
1715689777.2739828,5415,42.54999923706055
1715689784.6583395,5615,43.4900016784668
1715689791.6004293,5815,44.33000183105469
1715689796.9045763,5966,44.810001373291016
1715689801.8378727,6108,44.709999084472656
1715689807.6001463,6260,44.22999954223633
1715689811.6010725,6365,43.7400016784668
1715689817.3708904,6517,43.2599983215332
1715689824.9308567,6717,44.209999084472656
1715689830.9551241,6831,43.349998474121094
1715689836.9780674,6944,42.959999084472656
1715689845.0081701,7144,42.959999084472656
1715689853.038583,7344,42.959999084472656
1715689860.0619411,7512,42.63999938964844
1715689868.0880275,7712,42.63999938964844
1715689875.1125495,7863,42.150001525878906
1715689882.1392612,8016,41.68000030517578
1715689888.7337644,8181,41.810001373291016
1715689894.695127,8349,41.93000030517578
1715689900.7439132,8510,42.0
1715689907.809391,8710,42.0
1715689914.924462,8910,42.0
1715689918.5850713,9012,41.5
1715689926.6323235,9212,41.5
1715689934.6590984,9412,41.970001220703125
1715689942.6853912,9612,41.970001220703125
1715689950.7155588,9812,41.970001220703125
