Wall time,Step,Value
1715687862.8562524,200,0.0
1715687869.0390146,400,0.0
1715687874.9902356,600,0.0
1715687878.3511245,706,0.125
1715687884.6387997,906,0.10000000149011612
1715687890.974454,1106,0.0833333358168602
1715687896.8242717,1290,0.1071428582072258
1715687901.953301,1443,0.125
1715687909.54555,1643,0.1111111119389534
1715687916.5710597,1795,0.125
1715687922.595569,1901,0.15909090638160706
1715687929.6210272,2056,0.1666666716337204
1715687936.645937,2207,0.17307692766189575
1715687942.6709805,2350,0.1964285671710968
1715687948.694141,2462,0.21666666865348816
1715687953.7142975,2530,0.25
1715687958.7362921,2615,0.27941176295280457
1715687964.7634606,2731,0.2916666567325592
1715687968.7827976,2788,0.32894736528396606
1715687973.8062088,2879,0.3499999940395355
1715687978.8295827,2981,0.369047611951828
1715687983.8511145,3074,0.3863636255264282
1715687988.8714397,3151,0.41304346919059753
1715687994.8953729,3266,0.4166666567325592
1715687999.9161847,3336,0.4300000071525574
1715688003.9379575,3373,0.4699999988079071
1715688007.9585457,3412,0.5099999904632568
1715688011.9810736,3431,0.550000011920929
1715688017.001608,3513,0.5600000023841858
1715688024.0271826,3669,0.5799999833106995
1715688028.0465767,3718,0.6200000047683716
1715688034.0705707,3825,0.6299999952316284
1715688038.0915773,3871,0.6600000262260437
1715688042.111422,3886,0.699999988079071
1715688046.1321545,3912,0.7300000190734863
1715688050.1529508,3932,0.75
1715688055.1751018,3990,0.7699999809265137
1715688060.1988635,4066,0.7900000214576721
1715688064.2193644,4098,0.8100000023841858
1715688068.2404583,4154,0.8299999833106995
1715688072.2606776,4176,0.8399999737739563
1715688076.280783,4222,0.8500000238418579
1715688080.3008242,4246,0.8700000047683716
1715688085.3259497,4335,0.8600000143051147
1715688089.3463418,4380,0.8700000047683716
1715688094.3691485,4441,0.8700000047683716
1715688098.389958,4499,0.8799999952316284
1715688102.4098039,4522,0.8799999952316284
1715688106.4291916,4546,0.8999999761581421
1715688110.4488788,4608,0.9100000262260437
1715688114.470217,4644,0.9100000262260437
1715688119.4939134,4717,0.8999999761581421
1715688123.5158033,4736,0.8999999761581421
1715688127.5359507,4750,0.9100000262260437
1715688131.5566971,4775,0.9300000071525574
1715688135.5791574,4795,0.9300000071525574
1715688139.6007123,4826,0.949999988079071
1715688143.6204588,4843,0.949999988079071
1715688147.640612,4864,0.949999988079071
1715688151.6608005,4885,0.949999988079071
1715688155.6815627,4904,0.949999988079071
1715688159.7032793,4930,0.9599999785423279
1715688163.72275,4945,0.9700000286102295
1715688167.743112,4974,0.9700000286102295
1715688171.7638717,4990,0.9700000286102295
1715688175.7850962,5008,0.9700000286102295
1715688179.8072023,5030,0.9700000286102295
1715688183.8284185,5080,0.9700000286102295
1715688187.848396,5100,0.9800000190734863
1715688191.8700356,5126,0.9800000190734863
1715688196.893075,5183,0.9800000190734863
1715688200.9137566,5212,0.9800000190734863
1715688204.934778,5242,0.9800000190734863
1715688208.9556303,5279,0.9800000190734863
1715688212.977015,5301,0.9800000190734863
1715688216.9980557,5321,0.9800000190734863
1715688221.017513,5343,0.9900000095367432
1715688225.0383415,5376,0.9900000095367432
1715688229.0603492,5405,0.9900000095367432
1715688233.0816576,5423,0.9900000095367432
1715688237.102686,5432,0.9900000095367432
1715688241.1233542,5459,0.9900000095367432
1715688245.1439166,5496,0.9900000095367432
1715688249.164865,5519,0.9900000095367432
1715688253.184733,5544,0.9900000095367432
1715688257.2087464,5567,0.9900000095367432
1715688261.2297254,5585,0.9900000095367432
1715688265.250689,5599,0.9900000095367432
1715688269.2710936,5626,0.9900000095367432
1715688273.2931368,5645,0.9900000095367432
1715688277.3136709,5664,0.9900000095367432
1715688281.337026,5701,0.9900000095367432
1715688285.3586833,5727,0.9900000095367432
1715688289.380793,5750,0.9900000095367432
1715688293.4003298,5771,0.9900000095367432
1715688297.4216895,5798,1.0
1715688301.441507,5822,1.0
1715688305.4646478,5853,1.0
